"id";"login";"nome";"senha";"email";"ativo";"off";"aniversario";"ultimo_acesso";"acessos";"trocasenha";"isadvogado";"departamento_id"
"2";"adv.civel";"ADVOGADO CÍVEL";"1fd49d5251ecc0af505c33b65d9e55276df48dfbc96eed40e95a9b3e046d02c8";"teste@teste.com";"1";"1";"11/11";"2011-08-18 23:07:12";"22";"0";"1";"1"
"3";"adv.trabalhista";"ADVOGADO TRABALHISTA";"1fd49d5251ecc0af505c33b65d9e55276df48dfbc96eed40e95a9b3e046d02c8";"teste@teste.com";"1";"1";"11/11";"2011-08-16 17:07:40";"10";"0";"1";"2"
"4";"cp.civel";"CONTROLE DE PROCESSOS CÍVEL";"1fd49d5251ecc0af505c33b65d9e55276df48dfbc96eed40e95a9b3e046d02c8";"teste@teste.com";"1";"1";"11/11";"2011-08-16 17:13:12";"13";"0";"0";"3"
"5";"cpas.trabalhista";"ATUALIZAÇÃO DE SISTEMAS TRABALHISTA";"1fd49d5251ecc0af505c33b65d9e55276df48dfbc96eed40e95a9b3e046d02c8";"teste@teste.com";"1";"1";"11/11";"2011-08-16 16:04:25";"6";"0";"0";"9"
"6";"cpas.civel";"ATUALIZAÇÃO DE SISTEMAS CÍVEL";"1fd49d5251ecc0af505c33b65d9e55276df48dfbc96eed40e95a9b3e046d02c8";"teste@teste.com";"1";"1";"11/11";"2011-08-16 16:13:24";"3";"0";"0";"8"
"7";"protocolo";"PROTOCOLO";"1fd49d5251ecc0af505c33b65d9e55276df48dfbc96eed40e95a9b3e046d02c8";"teste@teste.com";"1";"1";"11/11";"2011-08-16 15:13:19";"6";"0";"0";"7"
"8";"ass.civel";"ASSISTENTE CÍVEL";"1fd49d5251ecc0af505c33b65d9e55276df48dfbc96eed40e95a9b3e046d02c8";"teste@teste.com";"1";"1";"11/11";"2011-08-16 16:57:02";"4";"0";"1";"1"
"9";"ass.trabalhista";"ASSISTENTE TRABALHISTA";"1fd49d5251ecc0af505c33b65d9e55276df48dfbc96eed40e95a9b3e046d02c8";"teste@teste.com";"1";"1";"11/11";"2011-08-16 17:08:17";"4";"0";"1";"2"
"10";"cp.trabalhista";"CONTROLE DE PROCESSOS TRABALHISTA";"1fd49d5251ecc0af505c33b65d9e55276df48dfbc96eed40e95a9b3e046d02c8";"teste@teste.com";"1";"1";"11/11";"2011-08-16 17:00:58";"13";"0";"0";"4"
"11";"rev.civel";"REVISOR CÍVEL";"1fd49d5251ecc0af505c33b65d9e55276df48dfbc96eed40e95a9b3e046d02c8";"teste@teste.com";"1";"1";"11/11";"2011-08-16 16:02:48";"5";"0";"0";"1"
"12";"rev.trabalhista";"REVISOR TRABALHISTA";"1fd49d5251ecc0af505c33b65d9e55276df48dfbc96eed40e95a9b3e046d02c8";"teste@teste.com";"1";"1";"11/11";"2011-08-16 15:25:36";"3";"0";"0";"2"
"13";"gestor.trab";"GESTOR TRABALHISTA";"1fd49d5251ecc0af505c33b65d9e55276df48dfbc96eed40e95a9b3e046d02c8";"teste@teste.com.br";"1";"1";"11/11";"2011-08-16 17:10:23";"2";"0";"1";"2"
"14";"gestor.civel";"GESTOR CÍVEL";"1fd49d5251ecc0af505c33b65d9e55276df48dfbc96eed40e95a9b3e046d02c8";"teste@teste.com.br";"1";"1";"11/11";"2011-08-16 17:07:25";"2";"0";"1";"1"
